model,seed,time_s,r2,rmse,mae,smape,mape,pearson_r,explained_variance
XGBoost,47,,0.7784924507141113,13.853893826123679,9.251700401306152,29.387956619262695,35.94749450683594,0.8844439928268282,0.7784950137138367
ResMLP,48,,0.8921324610710144,9.5964542516547,6.211269855499268,22.03325080871582,25.170703887939453,0.9447404489662313,0.8924742937088013
DCN-V2,48,,0.8133118748664856,12.624779425478774,8.19854736328125,27.052778244018555,31.822389602661133,0.902142933412346,0.8135948777198792
CatBoost,48,,0.8146508916207065,12.579423038995758,8.38985627688077,27.394794017158357,33.13685243317385,0.9047156856705958,0.8146511183504928
LightGBM,48,2.9223227500915527,0.8125019224422868,12.652136870470029,8.52896295691106,28.008816404918353,34.15087739367947,0.903067337305739,0.8125027815316981
XGBoost,48,2.954446792602539,0.7711424827575684,13.978096312219053,9.297696113586426,29.63222885131836,36.366310119628906,0.8798661698247883,0.7711443901062012
ResMLP,49,722.261440038681,0.8963682651519775,9.356870083592614,6.153794288635254,21.940214157104492,25.361745834350586,0.9468146593072789,0.8964554667472839
DCN-V2,49,345.8608729839325,0.812008261680603,12.602411893064794,8.217019081115723,27.039188385009766,31.920305252075195,0.9016707174988683,0.8123350739479065
CatBoost,49,61.070361614227295,0.8201027936495505,12.328108471300666,8.345439186720295,27.36363529046097,33.294265994323766,0.9077509947003773,0.820122062355222
LightGBM,49,7.34688138961792,0.8165251770382331,12.4500895735087,8.471318213111767,27.880822363778123,34.15389790540029,0.9054162934382155,0.8165397433964201
XGBoost,49,5.320064306259155,0.7763147354125977,13.746842455278026,9.254868507385254,29.572223663330078,36.422462463378906,0.8828394944665534,0.7763307690620422
ResMLP,50,688.3234231472015,0.8964711427688599,9.446970249090818,6.132244110107422,21.7083683013916,24.533740997314453,0.9470727678394573,0.8969302773475647
DCN-V2,50,277.3096477985382,0.8151450753211975,12.62342870017641,8.169389724731445,26.961257934570312,31.808944702148438,0.9030274987104224,0.8152523040771484
CatBoost,50,45.69477820396423,0.8142195152278555,12.654991104390682,8.394815894859876,27.304116948178205,33.071724583164844,0.9047422400478218,0.814219725575321
LightGBM,50,3.598498821258545,0.8106080887419487,12.777400617715104,8.52638866407865,27.80261154922215,33.84800051377985,0.9023208112919231,0.8106081033469312
XGBoost,50,3.674736261367798,0.7725281715393066,14.003145137092194,9.26634693145752,29.421829223632812,36.026065826416016,0.8808095259880301,0.7725282907485962
ResMLP,51,584.065459728241,0.8893275856971741,9.629035401010126,6.199134349822998,22.034648895263672,25.33770751953125,0.9432010089982472,0.8896263837814331
DCN-V2,51,275.7147834300995,0.8059778809547424,12.749371083025833,8.221986770629883,27.03095054626465,31.88350486755371,0.8978875043617666,0.8061277866363525
CatBoost,51,45.55695414543152,0.8093224281846794,12.639007126301287,8.404035003010772,27.425795795157796,33.22795133368731,0.9012714862303453,0.8093247695072742
LightGBM,51,3.5012857913970947,0.8056855918878423,12.75897111869457,8.554218055183174,28.027279226924346,34.26067329501843,0.8989569148294304,0.8056876156395801
XGBoost,51,4.160328149795532,0.7665386199951172,13.985263152662474,9.28433895111084,29.59761619567871,36.37150955200195,0.8767320901442163,0.7665427327156067
